folder,old_filename,proposed_new_filename,rationale
"Couple Dashboard","200.png","couple-overview.png","Main dashboard / overview screen"
"Couple Dashboard","201.png","couple-guests-list.png","Guest list / RSVP table view"
"Couple Dashboard","202.png","couple-guest-card.png","Guest detail / card view"
"Couple Dashboard","203.png","couple-invitation-editor.png","Invitation editor UI"
"Couple Dashboard","204.png","couple-invitation-preview.png","Invitation preview / live preview"
"Couple Dashboard","205.png","couple-theme-controls.png","Theme & design controls"
"Couple Dashboard","206.png","couple-tables-seating.png","Tables & seating planner"
"Couple Dashboard","207.png","couple-budget.png","Budget planner overview"
"Couple Dashboard","208.png","couple-checklist.png","Checklist / tasks view"
"Couple Dashboard","209.png","couple-gallery-manager.png","Gallery manager / uploads"
"Couple Dashboard","210.png","couple-notifications.png","Notifications or activity feed (generic)"
"Couple Dashboard","211.png","couple-settings.png","Account / wedding settings"
"Couple Dashboard","212.png","couple-agenda.png","Agenda / timeline editor"
"Couple Dashboard","213.png","couple-seating-assistant.png","Seating assistant / table finder"
"Couple Dashboard","214.png","couple-advanced-views.png","Additional dashboard screens"

"invitation Page","Invitation 1st Loading.png","invitation-loading-cover.png","Loading / cover screen for invitation"
"invitation Page","40.png","invitation-sample-layout.png","Sample invitation layout / hero section"

"Super Admin","100.png","super-overview.png","Admin overview / KPIs"
"Super Admin","101.png","super-couple-management.png","Couple management list / search"
"Super Admin","102.png","super-couple-details.png","Couple detail / wedding view"
"Super Admin","103.png","super-vendor-management.png","Vendor approval / management"
"Super Admin","104.png","super-vendor-details.png","Vendor profile / detail"
"Super Admin","105.png","super-template-management.png","Template editor / management"
"Super Admin","106.png","super-template-preview.png","Template preview screens"
"Super Admin","107.png","super-plan-management.png","Subscription / plan controls"
"Super Admin","108.png","super-reports.png","Reports & analytics overview"
"Super Admin","109.png","super-logs.png","Logs / support tools"
"Super Admin","110.png","super-user-actions.png","Admin user action screens"
"Super Admin","111.png","super-settings.png","Global system settings"
"Super Admin","112.png","super-support.png","Support / inquiries"
"Super Admin","113.png","super-data-cleanup.png","Trial & cleanup screens"
"Super Admin","114.png","super-templates-list.png","Templates listing"
"Super Admin","115.png","super-usage-metrics.png","Usage metrics dashboard"
"Super Admin","116.png","super-audit-trail.png","Audit trail / activity logs"
"Super Admin","117.png","super-additional.png","Additional admin screens"

"Vendor Portal","108.png","vendor-legacy-108.png","Unknown context in folder; keep as legacy reference"
"Vendor Portal","300.png","vendor-overview.png","Vendor portal overview / listings"
"Vendor Portal","301.png","vendor-profile.png","Vendor profile & gallery"
"Vendor Portal","302.png","vendor-listing-editor.png","Listing editor / create service"
"Vendor Portal","303.png","vendor-booking-requests.png","Booking requests / leads"
"Vendor Portal","304.png","vendor-calendar.png","Calendar / availability"
"Vendor Portal","305.png","vendor-messages.png","Messages / leads inbox"
"Vendor Portal","306.png","vendor-analytics.png","Analytics / earnings"
"Vendor Portal","307.png","vendor-settings.png","Vendor account & settings"
"Vendor Portal","308.png","vendor-pricing.png","Pricing / packages editor"
"Vendor Portal","309.png","vendor-photos-manager.png","Photos / portfolio manager"
"Vendor Portal","310.png","vendor-availability-rules.png","Availability rules / schedule"
"Vendor Portal","311.png","vendor-inbox-detail.png","Lead / message detail"
"Vendor Portal","312.png","vendor-booking-detail.png","Booking detail / workflow"
"Vendor Portal","313.png","vendor-payouts.png","Payouts / earnings breakdown"
"Vendor Portal","314.png","vendor-onboarding-steps.png","Onboarding / verification flow"
"Vendor Portal","315.png","vendor-additional.png","Additional vendor screens"
